k=7 : a=130, b=144, c=14, length = 576, b == a+c - True, <lcm - True
k=7 : a=140, b=144, c=4, length = 576, b == a+c - True, <lcm - True
k=7 : a=27, b=147, c=120, length = 588, b == a+c - True, <lcm - True
k=7 : a=60, b=147, c=87, length = 588, b == a+c - True, <lcm - True
k=7 : a=87, b=147, c=60, length = 588, b == a+c - True, <lcm - True
k=7 : a=120, b=147, c=27, length = 588, b == a+c - True, <lcm - True
k=7 : a=28, b=148, c=120, length = 592, b == a+c - True, <lcm - True
k=7 : a=120, b=148, c=28, length = 592, b == a+c - True, <lcm - True
k=7 : a=24, b=150, c=126, length = 600, b == a+c - True, <lcm - True
k=7 : a=42, b=150, c=108, length = 600, b == a+c - True, <lcm - True
k=7 : a=66, b=150, c=84, length = 600, b == a+c - True, <lcm - True
k=7 : a=84, b=150, c=66, length = 600, b == a+c - True, <lcm - True
k=7 : a=108, b=150, c=42, length = 600, b == a+c - True, <lcm - True
k=7 : a=126, b=150, c=24, length = 600, b == a+c - True, <lcm - True
k=7 : a=60, b=151, c=91, length = 604, b == a+c - True, <lcm - True
k=7 : a=91, b=151, c=60, length = 604, b == a+c - True, <lcm - True
k=7 : a=12, b=152, c=140, length = 608, b == a+c - True, <lcm - True
k=7 : a=140, b=152, c=12, length = 608, b == a+c - True, <lcm - True
k=7 : a=10, b=154, c=144, length = 616, b == a+c - True, <lcm - True
k=7 : a=24, b=154, c=130, length = 616, b == a+c - True, <lcm - True
k=7 : a=34, b=154, c=120, length = 616, b == a+c - True, <lcm - True
k=7 : a=60, b=154, c=94, length = 616, b == a+c - True, <lcm - True
k=7 : a=70, b=154, c=84, length = 616, b == a+c - True, <lcm - True
k=7 : a=84, b=154, c=70, length = 616, b == a+c - True, <lcm - True
k=7 : a=94, b=154, c=60, length = 616, b == a+c - True, <lcm - True
k=7 : a=120, b=154, c=34, length = 616, b == a+c - True, <lcm - True
k=7 : a=130, b=154, c=24, length = 616, b == a+c - True, <lcm - True
k=7 : a=144, b=154, c=10, length = 616, b == a+c - True, <lcm - True
k=7 : a=35, b=155, c=120, length = 620, b == a+c - True, <lcm - True
k=7 : a=120, b=155, c=35, length = 620, b == a+c - True, <lcm - True
k=7 : a=16, b=156, c=140, length = 624, b == a+c - True, <lcm - True
k=7 : a=30, b=156, c=126, length = 624, b == a+c - True, <lcm - True
k=7 : a=56, b=156, c=100, length = 624, b == a+c - True, <lcm - True
k=7 : a=70, b=156, c=86, length = 624, b == a+c - True, <lcm - True
k=7 : a=86, b=156, c=70, length = 624, b == a+c - True, <lcm - True
k=7 : a=100, b=156, c=56, length = 624, b == a+c - True, <lcm - True
k=7 : a=126, b=156, c=30, length = 624, b == a+c - True, <lcm - True
k=7 : a=140, b=156, c=16, length = 624, b == a+c - True, <lcm - True
k=7 : a=60, b=158, c=98, length = 632, b == a+c - True, <lcm - True
k=7 : a=98, b=158, c=60, length = 632, b == a+c - True, <lcm - True
k=7 : a=28, b=160, c=132, length = 640, b == a+c - True, <lcm - True
k=7 : a=48, b=160, c=112, length = 640, b == a+c - True, <lcm - True
k=7 : a=76, b=160, c=84, length = 640, b == a+c - True, <lcm - True
k=7 : a=84, b=160, c=76, length = 640, b == a+c - True, <lcm - True
k=7 : a=112, b=160, c=48, length = 640, b == a+c - True, <lcm - True
k=7 : a=132, b=160, c=28, length = 640, b == a+c - True, <lcm - True
k=7 : a=41, b=161, c=120, length = 644, b == a+c - True, <lcm - True
k=7 : a=60, b=161, c=101, length = 644, b == a+c - True, <lcm - True
k=7 : a=101, b=161, c=60, length = 644, b == a+c - True, <lcm - True
k=7 : a=120, b=161, c=41, length = 644, b == a+c - True, <lcm - True
k=7 : a=42, b=162, c=120, length = 648, b == a+c - True, <lcm - True
k=7 : a=120, b=162, c=42, length = 648, b == a+c - True, <lcm - True
k=7 : a=24, b=164, c=140, length = 656, b == a+c - True, <lcm - True
k=7 : a=80, b=164, c=84, length = 656, b == a+c - True, <lcm - True
k=7 : a=84, b=164, c=80, length = 656, b == a+c - True, <lcm - True
k=7 : a=140, b=164, c=24, length = 656, b == a+c - True, <lcm - True
k=7 : a=60, b=165, c=105, length = 660, b == a+c - True, <lcm - True
k=7 : a=105, b=165, c=60, length = 660, b == a+c - True, <lcm - True
